Geographic Area,Student Subgroup,Scenario (Percent of dropouts who graduate),Combined increased annual earnings ($),Increased Investment ($),Increased Spending ($),Increased state tax revenue ($),Increased Value of Home Sales ($),Increased Value of Vehicle Sales ($),New Jobs Created,Growth in GDP ($)
"Morristown, TN ",Asian/Pacific Islander,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Morristown, TN ",Hispanic,100%,335231.18,82889.51,252341.67,27892.06,634096.1,22810.55,2.387204528,411108.22
"Morristown, TN ",Black,100%,323141.55,78251.25,244890.3,27075.04,617054.35,23950.44,2.303981308,396322.11
"Morristown, TN ","White, Non-Hispanic",100%,4763199.66,1283318.55,3479881.11,393480.34,10270063.59,286755.1,33.73547682,5838758.32
"Morristown, TN ",All Students,100%,4446029.13,1034108.49,3411920.63,377599.96,8677129.56,317868.05,31.77391256,5453933.08
"Muskegon-Norton Shores, MI",American Indian or Alaska Native,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Muskegon-Norton Shores, MI",Asian/Pacific Islander,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Muskegon-Norton Shores, MI",Hispanic,100%,929700.77,215613.51,714087.26,92407.61,2544064.4,68900.77,7.457473201,1169878.35
"Muskegon-Norton Shores, MI",Black,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Muskegon-Norton Shores, MI","White, Non-Hispanic",100%,7117286.24,1914436.16,5202850.08,714512.96,21324306.17,454774.83,56.18185137,8942680.69
"Muskegon-Norton Shores, MI",All Students,100%,13203658.03,3044795.8,10158862.23,1331872.38,37619101.02,989739.05,105.9711953,16615545.68
"Myrtle Beach-North Myrtle Beach-Conway, SC",American Indian or Alaska Native,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Myrtle Beach-North Myrtle Beach-Conway, SC",Asian/Pacific Islander,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Myrtle Beach-North Myrtle Beach-Conway, SC",Hispanic,100%,734801.03,180857.24,553943.8,56710.07,1610757.47,108642.41,6.020653251,933361.75
"Myrtle Beach-North Myrtle Beach-Conway, SC",Black,100%,2930873.32,694888.73,2235984.59,226440.69,6099641.77,507604.48,24.10038977,3724379.62
"Myrtle Beach-North Myrtle Beach-Conway, SC","White, Non-Hispanic",100%,7402570.75,2042261.28,5360309.47,572208.91,19636104.85,941674.4,59.93819639,9390327.42
"Myrtle Beach-North Myrtle Beach-Conway, SC",All Students,100%,10577391.14,2524702.09,8052689.05,816548.2,22097058.83,1543779.21,86.92240878,13440154.86
"Naples-Marco Island, FL",American Indian or Alaska Native,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Naples-Marco Island, FL",Asian/Pacific Islander,100%,208488.02,59317.21,149170.81,13124.53,491670.02,14041.82,1.074297944,255106.18
"Naples-Marco Island, FL",Hispanic,100%,13190033.73,3305806.62,9884227.11,832951.91,28256570.02,986449.66,68.54963135,16145280.53
"Naples-Marco Island, FL",Black,100%,2952448.62,747519.45,2204929.17,191933.48,7024467.7,227539.28,15.33423988,3613848.81
"Naples-Marco Island, FL","White, Non-Hispanic",100%,11029042.62,3216893.5,7812149.12,708561.08,28248778.52,676274.18,56.72726193,13494099.11
"Naples-Marco Island, FL",All Students,100%,26778744.05,6821313.62,19957430.43,1709956.3,60366368.92,1992089.38,139.0277671,32777102.57
"Nashville-Davidson--Murfreesboro, TN",American Indian or Alaska Native,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Nashville-Davidson--Murfreesboro, TN",Asian/Pacific Islander,100%,1551402.26,431413.54,1119988.72,131035.3,2986036.96,80391.84,12.43114323,2121403.3
"Nashville-Davidson--Murfreesboro, TN",Hispanic,100%,7070607.49,1817015.78,5253591.71,610050.35,13468659.87,406464.15,57.34186784,9693068.93
"Nashville-Davidson--Murfreesboro, TN",Black,100%,20390569.23,5243143.38,15147425.85,1765128.56,39603973.25,1221312.25,165.3508706,27952834.56
"Nashville-Davidson--Murfreesboro, TN","White, Non-Hispanic",100%,53580678.79,15421677,38159001.79,4580590.43,116056664.7,2626527.95,426.9325515,73180522.91
"Nashville-Davidson--Murfreesboro, TN",All Students,100%,72925046.69,18321905.92,54603140.77,6311039.3,136409900.4,4228794.21,593.3392958,100041814.6
"New Haven-Milford, CT",American Indian or Alaska Native,100%,203131.95,60861.14,142270.81,32236.42,862754.56,20585.34,1.348434603,267271.8
"New Haven-Milford, CT",Asian/Pacific Islander,100%,1343052.01,441041.88,902010.12,216463.69,6001981.77,106849.76,8.765259949,1762757.43
"New Haven-Milford, CT",Hispanic,100%,9385139.32,2661296.83,6723842.49,1505038.79,40209710.23,1001541.7,62.88609077,12365570.55
"New Haven-Milford, CT",Black,100%,9469848.28,2725306.09,6744542.19,1502528.23,39850300.89,1020041.43,63.2982534,12472659.07
"New Haven-Milford, CT","White, Non-Hispanic",100%,15046227.64,4810091.94,10236135.7,2339806.6,62330300.98,1312957.81,98.70614832,19762993.56
"New Haven-Milford, CT",All Students,100%,31327408.14,8913996.45,22413411.69,4943186.54,130064964.9,3179324.06,209.7934168,41272563.78
"New Orleans-Metairie-Kenner, LA ",American Indian or Alaska Native,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"New Orleans-Metairie-Kenner, LA ",Asian/Pacific Islander,100%,823653.11,225263.82,598389.29,77082.12,1518291.37,48935.9,5.558297058,1060066.37
"New Orleans-Metairie-Kenner, LA ",Hispanic,100%,2882874.3,746457.52,2136416.78,273495.98,5313576.87,188767.61,19.58572148,3713894.35
"New Orleans-Metairie-Kenner, LA ",Black,100%,16656865.1,4163496.63,12493368.46,1594455.3,30897329.3,1159917.11,113.6302101,21471016.27
"New Orleans-Metairie-Kenner, LA ","White, Non-Hispanic",100%,21682481.39,6193059.85,15489421.55,2024992.7,43517827.5,1215497.57,145.4997466,27883779.67
"New Orleans-Metairie-Kenner, LA ",All Students,100%,39746047.97,9840649.72,29905398.25,3817678.14,74610349.58,2636913.76,271.4344664,51241368.07
"New York-Northern New Jersey-Long Island, NY-NJ-PA",American Indian or Alaska Native,100%,5094008.77,1458556.32,3635452.45,638976.24,11465974.81,537620.89,30.24374772,6625334.18
"New York-Northern New Jersey-Long Island, NY-NJ-PA",Asian/Pacific Islander,100%,83616393.55,25840863.21,57775530.33,10459446.73,195678656.5,7619637.94,489.9866806,108562852.6
"New York-Northern New Jersey-Long Island, NY-NJ-PA",Hispanic,100%,426618338.7,118217704.2,308400634.5,53232110.67,924156854.4,45602527.19,2546.257176,555258457.7
"New York-Northern New Jersey-Long Island, NY-NJ-PA",Black,100%,345149486.5,96209350.18,248940136.4,43160529.99,756094347.9,37875116.57,2058.086221,449167300.4
"New York-Northern New Jersey-Long Island, NY-NJ-PA","White, Non-Hispanic",100%,209270188.7,65391162.45,143879026.2,25936070.72,478664573.4,18348509.26,1223.869247,271632975.9
"New York-Northern New Jersey-Long Island, NY-NJ-PA",All Students,100%,909587158.3,250665778,658921380.3,113942046,1990607243,96306727.04,5433.545561,1183997320
"Norwich-New London, CT",American Indian or Alaska Native,100%,575402.96,167340.65,408062.3,83274.34,2377489.48,45483.7,3.34557544,718893.5
"Norwich-New London, CT",Asian/Pacific Islander,100%,536009.65,164652.39,371357.26,76263.35,2165674.98,39532.42,3.092734781,669313.61
"Norwich-New London, CT",Hispanic,100%,2205679.65,625564.19,1580115.46,317849.38,8968503.56,181241.15,12.867669,2756376.89
"Norwich-New London, CT",Black,100%,2431604.86,698218.44,1733386.42,352471.1,10048556.41,202101.36,14.16240904,3038354.33
"Norwich-New London, CT","White, Non-Hispanic",100%,9033294.41,2855336.96,6177957.44,1344475.37,40505848.55,615457.44,51.90302789,11276516.34
"Norwich-New London, CT",All Students,100%,11368634.76,3204986.59,8163648.18,1647391.84,46723782.79,923177.95,66.37570372,14207868.75
"Ocala, FL",American Indian or Alaska Native,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Ocala, FL",Asian/Pacific Islander,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Ocala, FL",Hispanic,100%,1149892.41,278109.23,871783.18,76842.27,2448631,152924.62,9.308583993,1455792.33
"Ocala, FL",Black,100%,2482292.44,593557.64,1888734.81,165962.23,5253307.16,344572.34,20.1115065,3142926.78
"Ocala, FL","White, Non-Hispanic",100%,7064395.88,1897583.33,5166812.55,494876.04,18449828.85,788762.77,56.71771111,8935837.75
"Ocala, FL",All Students,100%,9419188.76,2182249.67,7236939.09,631733.66,19712307.31,1221147.02,76.48825591,11928913.83
"Ogden-Clearfield, UT",American Indian or Alaska Native,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Ogden-Clearfield, UT",Asian/Pacific Islander,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Ogden-Clearfield, UT",Hispanic,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Ogden-Clearfield, UT",Black,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Ogden-Clearfield, UT","White, Non-Hispanic",100%,18172603.5,5339950.42,12832653.07,1728394.94,69476807.8,1485207.37,135.1018742,22585635.16
"Ogden-Clearfield, UT",All Students,100%,34531967.8,8898230.35,25633737.45,3301635.77,123278354.8,3307317.52,260.9269305,42958339.78
"Oklahoma City, OK",American Indian or Alaska Native,100%,5120236.64,1330233.52,3790003.11,498614.37,7886689.11,387896.06,46.5258647,6852862.12
"Oklahoma City, OK",Asian/Pacific Islander,100%,1072709.24,295364.8,777344.44,102962.95,1640694.31,70115.43,9.671750494,1433518.24
"Oklahoma City, OK",Hispanic,100%,6354140.64,1600225.2,4753915.43,622169.38,9690798.29,485409.1,57.96721086,8510924.03
"Oklahoma City, OK",Black,100%,9212557.14,2309979.06,6902578.07,906328.23,14442905.59,736080.68,84.08964614,12340894.86
"Oklahoma City, OK","White, Non-Hispanic",100%,23259034.98,6601668.42,16657366.56,2255886.66,40148760.24,1479259.61,208.8129265,31056441.77
"Oklahoma City, OK",All Students,100%,40485843.12,10023979.95,30461863.17,3967724.47,60499189.67,2972808.79,370.121636,54250445.02
"Olympia, WA",American Indian or Alaska Native,100%,744030.23,207713.74,536316.49,67288.07,2545329.24,74124.46,4.72238606,919076.78
"Olympia, WA",Asian/Pacific Islander,100%,855524.77,242162.76,613362.01,77552.75,2957945.23,79324.11,5.421856669,1056719.59
"Olympia, WA",Hispanic,100%,2088280.07,578325.98,1509954.1,190070.42,7215337.7,205494.85,13.26588982,2579702.05
"Olympia, WA",Black,100%,599307.27,166867.09,432440.18,55016.58,2112085.44,66041.09,3.804918106,740316.19
"Olympia, WA","White, Non-Hispanic",100%,14574377.93,4462235.71,10112142.22,1408284.91,58947854.78,1265914.4,91.53437521,17993454
"Olympia, WA",All Students,100%,16438443.34,4447749.26,11990694.08,1510888.54,57417066.11,1623727.44,104.6839601,20309410.36
"Omaha-Council Bluffs, NE-IA",American Indian or Alaska Native,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Omaha-Council Bluffs, NE-IA",Asian/Pacific Islander,100%,597401.49,173661.27,423740.22,62239.12,1091626.16,38356.97,4.930718996,791749.38
"Omaha-Council Bluffs, NE-IA",Hispanic,100%,6818953.41,1783438.83,5035514.58,726296.77,12617455,526016.83,57.22756453,9061569.89
"Omaha-Council Bluffs, NE-IA",Black,100%,10010434.78,2592913.72,7417521.06,1062831.12,18229687.42,826231.06,84.13197211,13305744.23
"Omaha-Council Bluffs, NE-IA","White, Non-Hispanic",100%,20381031.57,5976337.15,14404694.41,2176362.6,40507446.96,1344635.98,167.9709825,27005123.48
"Omaha-Council Bluffs, NE-IA",All Students,100%,34922842.73,8969200.83,25953641.9,3701114.02,62914418.07,2634502.07,293.8710087,46428346.38
"Orlando-Kissimmee, FL",American Indian or Alaska Native,100%,450607.71,117420.87,333186.84,32534.87,1080418.17,53229.86,3.913896176,614465.82
"Orlando-Kissimmee, FL",Asian/Pacific Islander,100%,1761913.88,491130.15,1270783.73,125252.86,4221002.35,177247.22,15.1517276,2397584.42
"Orlando-Kissimmee, FL",Hispanic,100%,37137535.78,9603387.28,27534148.5,2661856.67,86977412.86,4278136.16,322.9213164,50653789
"Orlando-Kissimmee, FL",Black,100%,26265549.66,6657044.45,19608505.21,1906653.07,62889126.57,3211231.89,229.0270203,35846133.55
"Orlando-Kissimmee, FL","White, Non-Hispanic",100%,45177965.51,12958548.05,32219417.47,3298057.43,117561789.6,4409314.55,386.777686,61420068.16
"Orlando-Kissimmee, FL",All Students,100%,108324956.8,27165926.56,81159030.2,7787703.24,251348960.5,12300932.57,945.9311816,147882848.9
"Oxnard-Thousand Oaks-Ventura, CA",American Indian or Alaska Native,100%,636876.92,192452.52,444424.4,75183.55,2260759.01,47444.29,4.046997908,816557.09
"Oxnard-Thousand Oaks-Ventura, CA",Asian/Pacific Islander,100%,1940086.77,622454.38,1317632.39,225511.52,6817247.07,130332,12.22376038,2484974.01
"Oxnard-Thousand Oaks-Ventura, CA",Hispanic,100%,32447848.45,9211196.79,23236651.66,3856599.98,112179235.3,2440147.98,207.9012913,41642688.99
"Oxnard-Thousand Oaks-Ventura, CA",Black,100%,1259181.52,379267.54,879913.97,147414.15,4294659.07,97608.95,8.004956456,1614514.61
"Oxnard-Thousand Oaks-Ventura, CA","White, Non-Hispanic",100%,23918398.45,7724361.27,16194037.17,2810715.54,88594063.38,1510760.82,150.5554325,30632619.9
"Oxnard-Thousand Oaks-Ventura, CA",All Students,100%,68502336.21,19709879.16,48792457.05,8074663.98,230862352.2,5132883.11,438.1506974,87896096.47
"Palm Bay-Melbourne-Titusville, FL",American Indian or Alaska Native,100%,112189.85,28559.56,83630.29,8139.02,282718.02,10805.76,0.845675228,142961.44
"Palm Bay-Melbourne-Titusville, FL",Asian/Pacific Islander,100%,136983.55,37273.59,99709.96,9757.15,341897.57,11515.08,1.02610569,174424.01
"Palm Bay-Melbourne-Titusville, FL",Hispanic,100%,1341070.95,345770.79,995300.16,94615.22,3160979.22,124797.87,10.09706594,1708661.81
"Palm Bay-Melbourne-Titusville, FL",Black,100%,3916592.18,967382.01,2949210.17,273131.63,8711868.06,387135.17,29.6025917,4992464.41
"Palm Bay-Melbourne-Titusville, FL","White, Non-Hispanic",100%,20915636.84,5898700.75,15016936.09,1471032.56,51631920.05,1643806.39,156.1150995,26620949.17
"Palm Bay-Melbourne-Titusville, FL",All Students,100%,24119264.95,5915288.32,18203976.64,1669666.59,52303260.02,2250822.64,182.4126455,30747035.09
"Pensacola-Ferry Pass-Brent, FL",American Indian or Alaska Native,100%,245293.14,59617.87,185675.27,15408.23,556416.22,33336.36,2.080937323,316611.31
"Pensacola-Ferry Pass-Brent, FL",Asian/Pacific Islander,100%,331111.14,83123.39,247987.75,20836.49,776691.24,39469.57,2.799961528,427163.85
"Pensacola-Ferry Pass-Brent, FL",Hispanic,100%,592693.78,147639.97,445053.81,36849.64,1322869.19,74540.01,5.015892811,764723.85
"Pensacola-Ferry Pass-Brent, FL",Black,100%,8053861.56,1893761.45,6160100.11,502915.71,17380665.32,1170769.65,68.54151157,10400710.55
"Pensacola-Ferry Pass-Brent, FL","White, Non-Hispanic",100%,14125682.37,3875681.04,10250001.33,876416.33,34082953.25,1632933.87,118.3290506,18196455.1
"Pensacola-Ferry Pass-Brent, FL",All Students,100%,23276218.3,5491137.86,17785080.44,1467693.45,52227982.75,2973396.5,198.0283422,30057298.07
"Peoria, IL",American Indian or Alaska Native,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Peoria, IL",Asian/Pacific Islander,100%,176062.16,53269.04,122793.12,19487.77,485128.48,14529.76,1.178437743,220672.94
"Peoria, IL",Hispanic,100%,537867.73,141080.92,396786.81,60531.79,1461522.22,54148.32,3.680429811,675385.61
"Peoria, IL",Black,100%,2353485.49,609456.09,1744029.4,267210.37,6502009.85,258590.49,16.13316463,2955653.64
"Peoria, IL","White, Non-Hispanic",100%,10429235.39,3033151.54,7396083.85,1221263.39,32149577.01,915520.92,70.25964467,13078764.8
"Peoria, IL",All Students,100%,11638768.84,2971438.33,8667330.52,1314001.65,31572785.73,1191643.36,79.94158632,14619110.91
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",American Indian or Alaska Native,100%,1456305.49,414589.62,1041715.87,169566.05,3575681.1,87969.12,10.28469026,1925551.14
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Asian/Pacific Islander,100%,9562324.27,2931624.5,6630699.77,1115715.74,24346503.24,505669.23,66.63763471,12618987.9
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Hispanic,100%,42175658.66,11490247.17,30685411.49,4916313.78,102037229.6,2643023.61,300.0558791,55825738.73
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",Black,100%,135254358.3,36901149.32,98353208.93,15777392.5,328028302.2,8628633.11,962.0330139,179023035.7
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD","White, Non-Hispanic",100%,103726204.6,31845866.18,71880338.45,12035530.58,260542741.1,5320729.99,722.6502938,136877700.8
"Philadelphia-Camden-Wilmington, PA-NJ-DE-MD",All Students,100%,264973204,71751456.77,193221747.2,30960761.92,643584040.7,16416592.98,1886.999556,350782448.6
"Phoenix-Mesa-Scottsdale, AZ",American Indian or Alaska Native,100%,9073899.53,2537769.84,6536129.68,869327.89,25415502.24,597390.73,83.50283195,12958408.21
"Phoenix-Mesa-Scottsdale, AZ",Asian/Pacific Islander,100%,4398054.68,1334956.12,3063098.56,415384.8,12611529.94,240227.58,39.91553558,6260332.43
"Phoenix-Mesa-Scottsdale, AZ",Hispanic,100%,85025080.15,22876105.27,62148974.89,8272089.55,244597950.9,5618355.83,787.2486598,121600739.8
"Phoenix-Mesa-Scottsdale, AZ",Black,100%,12137871.94,3386697.32,8751174.63,1164411.68,34105132.7,814538.1,111.7416444,17335621.86
"Phoenix-Mesa-Scottsdale, AZ","White, Non-Hispanic",100%,93564096.78,28606782.53,64957314.25,8955832.33,284549832.7,5100269,848.0619065,133141672.8
"Phoenix-Mesa-Scottsdale, AZ",All Students,100%,193095035.4,52083688.43,141011347,18307544.5,499358175.1,12225977.44,1787.172673,276134022.3
"Pittsburgh, PA ",American Indian or Alaska Native,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Pittsburgh, PA ",Asian/Pacific Islander,100%,1750423.8,522611.52,1227812.28,210788.26,4069727.33,87116.82,15.43866746,2410537.8
"Pittsburgh, PA ",Hispanic,100%,803319.66,208266.35,595053.31,96339.42,1728077.3,49052.57,7.25190832,1111416.48
"Pittsburgh, PA ",Black,100%,26168756.37,6408209.67,19760546.69,3163639.32,56143135.86,1752283.33,238.2223195,36266630.04
"Pittsburgh, PA ","White, Non-Hispanic",100%,52104597.39,14313874.52,37790722.87,6487210.66,127151193.6,2852215.64,466.1193336,71956847.92
"Pittsburgh, PA ",All Students,100%,66742236.16,15839452.61,50902783.55,8119201.16,143822817.1,4355766.64,610.2376535,92578703.05
"Portland-South Portland-Biddeford, ME",American Indian or Alaska Native,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Portland-South Portland-Biddeford, ME",Asian/Pacific Islander,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Portland-South Portland-Biddeford, ME",Hispanic,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Portland-South Portland-Biddeford, ME",Black,100%,550801.83,146391.98,404409.85,55932.75,1325622.29,46646.11,4.87053498,738491.21
"Portland-South Portland-Biddeford, ME","White, Non-Hispanic",100%,13911060.49,4101847.78,9809212.71,1480851.52,39690711.62,988229.45,121.1079459,18597113.73
"Portland-South Portland-Biddeford, ME",All Students,100%,12888885.26,3333917.15,9554968.11,1304808.15,30414862.46,1046109.71,114.4027359,17293149.23
"Portland-Vancouver-Beaverton, OR-WA",American Indian or Alaska Native,100%,2345146.85,643840.01,1701306.84,221965.32,7464632.21,186742.39,20.54218994,3234283.92
"Portland-Vancouver-Beaverton, OR-WA",Asian/Pacific Islander,100%,4361167.46,1255181.57,3105985.89,415021.77,14154919.86,308697.5,37.89760402,6005284.7
"Portland-Vancouver-Beaverton, OR-WA",Hispanic,100%,15449777.86,4092113.42,11357664.44,1478436.91,50404493.54,1227358.45,136.1164573,21331608.68
"Portland-Vancouver-Beaverton, OR-WA",Black,100%,6078021.43,1624769.46,4453251.97,581720.02,19857258.71,503037.1,53.47061348,8389548.37
"Portland-Vancouver-Beaverton, OR-WA","White, Non-Hispanic",100%,61769923.28,18474347.92,43295575.36,5938042.19,206669955.3,4073486.5,533.1104914,84943768.61
"Portland-Vancouver-Beaverton, OR-WA",All Students,100%,79470852.53,20968945.69,58501906.84,7367939.06,238278786.8,6098353.24,700.579158,109738904
"Poughkeepsie-Newburgh-Middletown, NY",American Indian or Alaska Native,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Poughkeepsie-Newburgh-Middletown, NY",Asian/Pacific Islander,100%,1163232.01,368737.38,794494.63,140811.55,2656226.66,81565.07,8.615074501,1508198.13
"Poughkeepsie-Newburgh-Middletown, NY",Hispanic,100%,7686832.48,2175991.42,5510841.06,935498.9,17312519.65,619631.93,57.85140801,9988251.35
"Poughkeepsie-Newburgh-Middletown, NY",Black,100%,9082054.93,2578751.08,6503303.84,1087402.04,19677450.52,766295.09,68.32433575,11800547.01
"Poughkeepsie-Newburgh-Middletown, NY","White, Non-Hispanic",100%,27966864.57,8761760.54,19205104.03,3511416.37,69247914.73,1911812.81,207.4929876,36269340.89
"Poughkeepsie-Newburgh-Middletown, NY",All Students,100%,36595501.75,10186182.62,26409319.13,4398609.66,79678427.67,2977345.39,276.0317851,47566613.18
"Providence-New Bedford-Fall River, RI-MA ",American Indian or Alaska Native,100%,610204.32,175254.8,434949.53,78591.85,1717817.78,54544.43,4.912130495,814427.17
"Providence-New Bedford-Fall River, RI-MA ",Asian/Pacific Islander,100%,3168196.69,957985.29,2210211.4,404692.61,8919296.99,236889.8,25.28057283,4222110.19
"Providence-New Bedford-Fall River, RI-MA ",Hispanic,100%,13371168.83,3671854.52,9699314.31,1741579.77,38099159.67,1201518,108.4203547,17868714.04
"Providence-New Bedford-Fall River, RI-MA ",Black,100%,5449077.41,1519952.54,3929124.87,696974.91,14861033.53,506863.98,44.07434642,7278788.01
"Providence-New Bedford-Fall River, RI-MA ","White, Non-Hispanic",100%,37769974.03,11634127.35,26135846.68,4860840.27,109397889.7,2853856.28,300.3931139,50305814.35
"Providence-New Bedford-Fall River, RI-MA ",All Students,100%,52406972.89,14280585.33,38126387.56,6476386.04,127929152.4,4556202.14,425.4581595,70049461.9
"Provo-Orem, UT",American Indian or Alaska Native,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Provo-Orem, UT",Asian/Pacific Islander,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Provo-Orem, UT",Hispanic,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Provo-Orem, UT",Black,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Provo-Orem, UT","White, Non-Hispanic",100%,5355506.92,1602254.14,3753252.78,470246.23,18128383.27,1525809.34,47.12035221,6906533.41
"Provo-Orem, UT",All Students,100%,7443389.12,1920308.67,5523080.45,686721.71,28007981.17,2008373.4,66.69380435,9622090.57
"Pueblo, CO",American Indian or Alaska Native,100%,185971.21,48384.86,137586.35,14099.36,740097.8,31048.08,1.507765132,236056.74
"Pueblo, CO",Asian/Pacific Islander,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Pueblo, CO",Hispanic,100%,2878415.29,713740.24,2164675.05,210648.1,10299461.14,531822.75,23.47991139,3655637.6
"Pueblo, CO",Black,100%,92529.29,23606.51,68922.78,6689.07,322592.21,15601.01,0.752085189,117475.9
"Pueblo, CO","White, Non-Hispanic",100%,2332216.27,654333.83,1677882.44,172108.66,8833961.56,338286.46,18.71488414,2957605.2
"Pueblo, CO",All Students,100%,5671787.08,1381009.89,4290777.2,406001.84,18976502.51,904702.85,46.36944777,7204720.79
"Racine, WI",American Indian or Alaska Native,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Racine, WI",Asian/Pacific Islander,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Racine, WI",Hispanic,100%,885659.58,243860.19,641799.38,119463.32,2678190.44,149375.45,5.458919888,1079277.29
"Racine, WI",Black,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Racine, WI","White, Non-Hispanic",100%,2976254.37,914671.97,2061582.4,369526.98,7743927.32,397196.84,18.05707587,3625460.73
"Racine, WI",All Students,100%,5486508.13,1492936.12,3993572,689287.75,14202870.97,819197.31,33.87065544,6686205.65
"Raleigh-Cary, NC ",American Indian or Alaska Native,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Raleigh-Cary, NC ",Asian/Pacific Islander,100%,1335604.09,416201.08,919403,129635.42,3580150.03,66142.49,10.39159059,1762806.47
"Raleigh-Cary, NC ",Hispanic,100%,11308208.7,3006270.26,8301938.44,1093548.34,26239610.34,697280.75,90.05857471,14983776.47
"Raleigh-Cary, NC ",Black,100%,28823679.75,7693725.32,21129954.44,2838417.28,73248358.05,1820501.41,229.4274942,38188888.67
"Raleigh-Cary, NC ","White, Non-Hispanic",100%,33808258.68,10366981.88,23441276.8,3303245.02,92081564.51,1702899.52,263.7183455,44641114.87
"Raleigh-Cary, NC ",All Students,100%,75680575.2,20386614.06,55293961.14,7295660.42,174694528.1,4538461.52,601.6491671,100249226.7
"Reading, PA",American Indian or Alaska Native,100%,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
"Reading, PA",Asian/Pacific Islander,100%,529699.54,155450.19,374249.36,60801.42,1266580.22,40633.57,4.019091723,686525.17
"Reading, PA",Hispanic,100%,8475357.08,2187674.45,6287682.63,1001651.08,20693577.85,775606.29,65.51286933,11010523.41
"Reading, PA",Black,100%,2239474.35,589440.06,1650034.3,264285.04,5490424.88,210784.39,17.26487339,2908366.15
"Reading, PA","White, Non-Hispanic",100%,9622188.31,2790364.25,6831824.06,1132726.61,24421934.01,741438.15,73.14294893,12473876.35
"Reading, PA",All Students,100%,19187912.07,4846884.26,14341027.81,2180034.61,41659372.22,1756574.12,148.7453571,24936601.23
"Reno-Sparks, NV",American Indian or Alaska Native,100%,1629522.3,466531.03,1162991.27,117052.14,4292449.63,152401.54,11.38484362,2142656.82
"Reno-Sparks, NV",Asian/Pacific Islander,100%,2221686.41,656941.94,1564744.47,159971.07,6060398.72,189757.49,15.44591701,2919334.04
"Reno-Sparks, NV",Hispanic,100%,19111387.05,5293270.73,13818116.32,1397635.39,51790404.67,1817962.85,134.1743257,25146268.75
"Reno-Sparks, NV",Black,100%,2497594.49,712264.05,1785330.44,181166.38,6759041.27,241574.51,17.45992647,3284346.15
"Reno-Sparks, NV","White, Non-Hispanic",100%,28593791.37,8924031.47,19669759.91,2042569.74,79815290.85,2218958.08,197.0829243,37528728.56
"Reno-Sparks, NV",All Students,100%,51236689.68,14214550.21,37022139.47,3648690.49,127746720.7,4637726.18,359.6288617,67413701.23
"Richmond, VA ",American Indian or Alaska Native,100%,601651.63,169871.26,431780.36,58210.57,1867068.08,41330.46,4.610195789,789472.54
"Richmond, VA ",Asian/Pacific Islander,100%,838936.56,255909.95,583026.61,79988.19,2580543.65,48347.82,6.348870952,1098502.8
"Richmond, VA ",Hispanic,100%,2959315.43,828970.96,2130344.47,285522.14,9070628.02,198910.07,22.7033792,3883944.46
